strain	virus	gisaid_epi_isl	date	region	country	division	pangolin_lineage
hCoV-19/Italy/CAM-AMES-40-91/2021	betacoronavirus	EPI_ISL_1298966	2021-03-04	Europe	Italy	Campania	A.2.5.2
hCoV-19/France/un-21012210228/2021	betacoronavirus	EPI_ISL_1088566	2021-01-21	Europe	France	NA	A.27
hCoV-19/Canada/NB-NML-16185/2021	betacoronavirus	EPI_ISL_1164967	2021-01-30	North America	Canada	New Brunswick	A.23.1
hCoV-19/Botswana/CV2707886/2021	betacoronavirus	EPI_ISL_944767	2021-01-21	Africa	Botswana	Gaborone	A.23.1
hCoV-19/Turkey/HSGM-5914/2021	betacoronavirus	EPI_ISL_1211641	2021-02-24	Europe	Turkey	NA	A.28
hCoV-19/France/ARA-HCL021039994301/2021	betacoronavirus	EPI_ISL_1253569	2021-02-23	Europe	France	Auvergne-Rhone-Alpes	A.27
hCoV-19/England/ALDP-1183F13/2021	betacoronavirus	EPI_ISL_990609	2021-01-25	Europe	United Kingdom	England	A.23.1
hCoV-19/USA/NY-CDC-LC0023416/2021	betacoronavirus	EPI_ISL_1320769	2021-02-24	North America	USA	New York	A.2.5
hCoV-19/France/ARA-HCL021039996701/2021	betacoronavirus	EPI_ISL_1253570	2021-02-22	Europe	France	Auvergne-Rhone-Alpes	A.27
hCoV-19/Rwanda/BH74409RD/2021	betacoronavirus	EPI_ISL_1064170	2021-02-13	Africa	Rwanda	NA	A.23.1
hCoV-19/Ireland/LH-NVRL-21IRL35767/2021	betacoronavirus	EPI_ISL_1055170	2021-01-24	Europe	Ireland	Louth	A
hCoV-19/France/HDF-IPP03410/2021	betacoronavirus	EPI_ISL_1060412	2021-02-05	Europe	France	Hauts-de-France	A.28
hCoV-19/Germany/NW-RKI-I-025987/2021	betacoronavirus	EPI_ISL_1156171	2021-02-23	Europe	Germany	North Rhine-Westphalia	A.27
hCoV-19/France/ARA-HCL021016705001/2021	betacoronavirus	EPI_ISL_1336571	2021-01-25	Europe	France	Auvergne-Rhone-Alpes	A
hCoV-19/Denmark/DCGC-31655/2021	betacoronavirus	EPI_ISL_856071	2021-01-11	Europe	Denmark	Hovedstaden	A.23.1
hCoV-19/Rwanda/NRLNAT3015/2021	betacoronavirus	EPI_ISL_1301771	2021-01-06	Africa	Rwanda	Kigali	A.23.1
hCoV-19/France/ARA-HCL021039998601/2021	betacoronavirus	EPI_ISL_1253571	2021-02-22	Europe	France	Auvergne-Rhone-Alpes	A.27
hCoV-19/France/IDF-HCL021020599501/2021	betacoronavirus	EPI_ISL_1312372	2021-01-26	Europe	France	Ile-de-France	A.27
hCoV-19/France/ARA-HCL021040000901/2021	betacoronavirus	EPI_ISL_1253572	2021-02-22	Europe	France	Auvergne-Rhone-Alpes	A.27
hCoV-19/Rwanda/NRLNAT3044/2021	betacoronavirus	EPI_ISL_1301742	2021-02-10	Africa	Rwanda	Kigali	A.23.1
hCoV-19/England/OXON-F681F5/2021	betacoronavirus	EPI_ISL_1178742	2021-02-03	Europe	United Kingdom	England	A.21
hCoV-19/Rwanda/NRLNAT3018/2021	betacoronavirus	EPI_ISL_1301773	2021-01-11	Africa	Rwanda	Kigali	A.23.1
hCoV-19/Italy/CAM-AMES-23-40/2021	betacoronavirus	EPI_ISL_1167374	2021-02-25	Europe	Italy	Campania	A.2.5.2
hCoV-19/USA/FL-BPHL-0708/2021	betacoronavirus	EPI_ISL_1132274	2021-02-15	North America	USA	Florida	A.2.5
hCoV-19/France/ARA-HCL021040213101/2021	betacoronavirus	EPI_ISL_1253575	2021-03-02	Europe	France	Auvergne-Rhone-Alpes	A.27
hCoV-19/England/CAMC-11AA08C/2021	betacoronavirus	EPI_ISL_996875	2021-01-27	Europe	United Kingdom	England	A.23.1
hCoV-19/Rwanda/NRLNAT3021/2021	betacoronavirus	EPI_ISL_1301775	2021-01-18	Africa	Rwanda	Kigali	A.23.1
hCoV-19/Mexico/NLE-INER-IMSS-00266/2021	betacoronavirus	EPI_ISL_1279275	2021-02-19	North America	Mexico	Nuevo Leon	A.2.5
hCoV-19/Germany/BY-RKI-I-049749/2021	betacoronavirus	EPI_ISL_1357175	2021-03-03	Europe	Germany	Bavaria	A.29
hCoV-19/Rwanda/NRLNAT3004/2021	betacoronavirus	EPI_ISL_1302675	2021-01-30	Africa	Rwanda	Kigali	A.23.1
hCoV-19/Sweden/SE00186559/2021	betacoronavirus	EPI_ISL_1200143	2021-01-26	Europe	Sweden	Gavleborg	A.23.1
hCoV-19/Netherlands/GR-RIVM-11567/2021	betacoronavirus	EPI_ISL_1014475	2021-01-26	Europe	Netherlands	Groningen	A
hCoV-19/Canada/NB-NML-16634/2021	betacoronavirus	EPI_ISL_1272275	2021-01-10	North America	Canada	New Brunswick	A.23.1
hCoV-19/USA/NY-PRL-2021_02_08_05D08/2021	betacoronavirus	EPI_ISL_1041376	2021-02-06	North America	USA	New York	A
hCoV-19/Turkey/HSGM-4506/2021	betacoronavirus	EPI_ISL_1170076	2021-02-16	Europe	Turkey	NA	A
hCoV-19/USA/FL-CDC-LC0006351/2021	betacoronavirus	EPI_ISL_1021676	2021-01-18	North America	USA	Florida	A.28
hCoV-19/Rwanda/NRLNAT3022/2021	betacoronavirus	EPI_ISL_1301776	2021-01-14	Africa	Rwanda	Kigali	A.23.1
hCoV-19/France/ARA-HCL021040221301/2021	betacoronavirus	EPI_ISL_1253576	2021-02-26	Europe	France	Auvergne-Rhone-Alpes	A.27
hCoV-19/USA/WA-S4929/2021	betacoronavirus	EPI_ISL_1049777	2021-02-04	North America	USA	Washington	A.2.5
hCoV-19/Rwanda/NRLNAT3024/2021	betacoronavirus	EPI_ISL_1301777	2021-01-15	Africa	Rwanda	Kigali	A.23.1
hCoV-19/Netherlands/UT-RIVM-12697/2021	betacoronavirus	EPI_ISL_1035477	2021-01-29	Europe	Netherlands	Utrecht	A
hCoV-19/Rwanda/NRLNAT3025/2021	betacoronavirus	EPI_ISL_1301778	2021-01-19	Africa	Rwanda	Kigali	A.23.1
hCoV-19/France/IDF-IPP01084/2021	betacoronavirus	EPI_ISL_909678	2021-01-08	Europe	France	Ile de France	A.28
hCoV-19/Italy/CAM-AMES-40-92/2021	betacoronavirus	EPI_ISL_1299078	2021-03-04	Europe	Italy	Campania	A.2.5.2
hCoV-19/Portugal/PT3366/2021	betacoronavirus	EPI_ISL_1170178	2021-02-11	Europe	Portugal	NA	A.21
hCoV-19/CanaryIslands/CN-IBV-97016112/2021	betacoronavirus	EPI_ISL_1000978	2021-01-14	Europe	Canary Islands	Las Palmas de Gran Canaria	A.28
hCoV-19/Germany/BW-RKI-I-011050/2021	betacoronavirus	EPI_ISL_1141178	2021-01-11	Europe	Germany	Baden-Wurttemberg	A.28
hCoV-19/Belgium/rega-2585/2021	betacoronavirus	EPI_ISL_1049178	2021-01-23	Europe	Belgium	Eisden	A.23.1
hCoV-19/England/CAMC-13DC83C/2021	betacoronavirus	EPI_ISL_1326678	2021-03-13	Europe	United Kingdom	England	A.29
hCoV-19/USA/MD-HP02137/2021	betacoronavirus	EPI_ISL_981079	2021-02-02	North America	USA	Maryland	A.2.5
hCoV-19/Rwanda/NRLNAT3026/2021	betacoronavirus	EPI_ISL_1301779	2021-01-21	Africa	Rwanda	Kigali	A.23.1
hCoV-19/Italy/CAM-AMES_35_37/2021	betacoronavirus	EPI_ISL_1229680	2021-03-02	Europe	Italy	Campania	A.2.5.2
hCoV-19/USA/MO-CDC-STM-000026481/2021	betacoronavirus	EPI_ISL_1283481	2021-02-28	North America	USA	Missouri	A.2.5
hCoV-19/CanaryIslands/CN-IBV-97016118/2021	betacoronavirus	EPI_ISL_1000982	2021-01-13	Europe	Canary Islands	Las Palmas de Gran Canaria	A.28
hCoV-19/France/IDF-IPP04184/2021	betacoronavirus	EPI_ISL_1118883	2021-02-11	Europe	France	Ile-de-France	A.27
hCoV-19/Rwanda/NRLNAT3032/2021	betacoronavirus	EPI_ISL_1301783	2021-01-15	Africa	Rwanda	Kigali	A.23.1
hCoV-19/USA/FL-CDC-STM-000019471/2021	betacoronavirus	EPI_ISL_1268583	2021-02-18	North America	USA	Florida	A.2.5
hCoV-19/Ireland/DL-NVRL-e84IRL40900/2021	betacoronavirus	EPI_ISL_1092985	2021-01-25	Europe	Ireland	Donegal	A
hCoV-19/Germany/HE-RKI-I-045961/2021	betacoronavirus	EPI_ISL_1353385	2021-03-12	Europe	Germany	Hesse	A
hCoV-19/Rwanda/NRLNAT1050/2021	betacoronavirus	EPI_ISL_925885	2021-01-11	Africa	Rwanda	Kigali	A.23.1
hCoV-19/Denmark/DCGC-39458/2021	betacoronavirus	EPI_ISL_970848	2021-01-25	Europe	Denmark	NA	A.23.1
hCoV-19/Netherlands/NB-RIVM-13558/2021	betacoronavirus	EPI_ISL_1090125	2021-02-10	Europe	Netherlands	Noord-Brabant	A
hCoV-19/Rwanda/NRLNAT1051/2021	betacoronavirus	EPI_ISL_925886	2021-01-11	Africa	Rwanda	Kigali	A.23.1
hCoV-19/Ireland/LH-NVRL-21IRL35735/2021	betacoronavirus	EPI_ISL_1055186	2021-01-16	Europe	Ireland	Louth	A
hCoV-19/Rwanda/NRLNAT3035/2021	betacoronavirus	EPI_ISL_1301786	2021-01-12	Africa	Rwanda	Kigali	A.23.1
hCoV-19/Rwanda/NRLNAT1080/2021	betacoronavirus	EPI_ISL_925909	2021-01-13	Africa	Rwanda	Kigali	A.23.1
hCoV-19/England/ALDP-12EC348/2021	betacoronavirus	EPI_ISL_1101515	2021-02-18	Europe	United Kingdom	England	A.23.1
hCoV-19/England/ALDP-115029E/2021	betacoronavirus	EPI_ISL_947649	2021-01-03	Europe	United Kingdom	England	A.23.1
hCoV-19/England/CAMC-13D3361/2021	betacoronavirus	EPI_ISL_1327087	2021-03-05	Europe	United Kingdom	England	A.23.1
hCoV-19/Germany/NI-RKI-I-044403/2021	betacoronavirus	EPI_ISL_1351687	2021-03-08	Europe	Germany	Lower Saxony	A.29
hCoV-19/France/ARA-HCL021029951901/2021	betacoronavirus	EPI_ISL_1253550	2021-02-02	Europe	France	Auvergne-Rhone-Alpes	A.27
hCoV-19/Rwanda/NRLNAT1053/2021	betacoronavirus	EPI_ISL_925888	2021-01-12	Africa	Rwanda	Kigali	A.23.1
hCoV-19/Slovenia/88655/2021	betacoronavirus	EPI_ISL_1273388	2021-02-18	Europe	Slovenia	NA	A.27
hCoV-19/CanaryIslands/CN-IBV-97016140/2021	betacoronavirus	EPI_ISL_1000988	2021-01-24	Europe	Canary Islands	Las Palmas de Gran Canaria	A.28
hCoV-19/Sweden/SE00202775/2021	betacoronavirus	EPI_ISL_1198689	2021-02-01	Europe	Sweden	Gavleborg	A.23.1
hCoV-19/USA/MD-CDC-LC0015381/2021	betacoronavirus	EPI_ISL_1162989	2021-02-10	North America	USA	Maryland	A.2.5
hCoV-19/England/OXON-F6CEBE/2021	betacoronavirus	EPI_ISL_1249089	2021-02-10	Europe	United Kingdom	England	A.21
hCoV-19/Indonesia/JK-NIHRD-MI2101485/2021	betacoronavirus	EPI_ISL_1169052	2021-02-02	Asia	Indonesia	Jakarta	A.23.1
hCoV-19/Rwanda/NRLNAT1055/2021	betacoronavirus	EPI_ISL_925890	2021-01-12	Africa	Rwanda	Kigali	A.23.1
hCoV-19/USA/MD-HP02153/2021	betacoronavirus	EPI_ISL_981090	2021-02-02	North America	USA	Maryland	A.2.5
hCoV-19/Turkey/HSGM-5613/2021	betacoronavirus	EPI_ISL_1213952	2021-02-23	Europe	Turkey	NA	A.28
hCoV-19/Spain/CT-HUVH-95980/2021	betacoronavirus	EPI_ISL_1058154	2021-02-16	Europe	Spain	Catalunya	A.21
hCoV-19/USA/NY-PRL-2021_0210_01B04/2021	betacoronavirus	EPI_ISL_995036	2021-02-08	North America	USA	New York	A.2.5
hCoV-19/France/un-21022010428/2021	betacoronavirus	EPI_ISL_981394	2021-01-29	Europe	France	NA	A.21
hCoV-19/Italy/CAM-AMES-27-56/2021	betacoronavirus	EPI_ISL_1169394	2021-02-27	Europe	Italy	Campania	A.2.5
hCoV-19/France/BRE-IPP04046/2021	betacoronavirus	EPI_ISL_1111036	2021-02-14	Europe	France	Bretagne	A.21
hCoV-19/Rwanda/NRLNAT3045/2021	betacoronavirus	EPI_ISL_1301794	2021-02-13	Africa	Rwanda	Kigali	A.23.1
hCoV-19/Italy/CAM-AMES-24-91/2021	betacoronavirus	EPI_ISL_1167536	2021-02-25	Europe	Italy	Campania	A.2.5.2
hCoV-19/Turkey/HSGM-5908/2021	betacoronavirus	EPI_ISL_1211636	2021-02-24	Europe	Turkey	NA	A.28
hCoV-19/Kenya/C78754/2021	betacoronavirus	EPI_ISL_968855	2021-01-02	Africa	Kenya	Mombasa	A.23.1
hCoV-19/Turkey/HSGM-6294/2021	betacoronavirus	EPI_ISL_1272099	2021-02-26	Europe	Turkey	NA	A.28
hCoV-19/Canada/NB-NML-8783/2021	betacoronavirus	EPI_ISL_961615	2021-01-20	North America	Canada	New Brunswick	A.23.1
hCoV-19/England/CAMC-105EB5A/2021	betacoronavirus	EPI_ISL_878743	2021-01-16	Europe	United Kingdom	England	A.23.1
hCoV-19/England/ALDP-10E51DE/2021	betacoronavirus	EPI_ISL_907758	2021-01-19	Europe	United Kingdom	England	A.23.1
hCoV-19/England/ALDP-F81CC8/2021	betacoronavirus	EPI_ISL_846358	2021-01-09	Europe	United Kingdom	England	A.23.1
hCoV-19/USA/WA-S4522/2021	betacoronavirus	EPI_ISL_1015865	2021-01-20	North America	USA	Washington	A.2.5
hCoV-19/USA/TX-HMH-MCoV-20402/2021	betacoronavirus	EPI_ISL_1074844	2021-01-04	North America	USA	Texas	A.2.5
hCoV-19/Germany/BY-RKI-I-049719/2021	betacoronavirus	EPI_ISL_1357145	2021-02-19	Europe	Germany	Bavaria	A
hCoV-19/Norway/1984/2021	betacoronavirus	EPI_ISL_1251859	2021-01-18	Europe	Norway	Oslo	A
hCoV-19/France/HDF-IPP04536/2021	betacoronavirus	EPI_ISL_1262745	2021-02-21	Europe	France	Hauts-de-France	A.28
hCoV-19/USA/NY-PRL-2021_03_02_00B06/2021	betacoronavirus	EPI_ISL_1172803	2021-02-28	North America	USA	New York	A.2.5
hCoV-19/Canada/NB-NML-16170/2021	betacoronavirus	EPI_ISL_1164960	2021-01-26	North America	Canada	New Brunswick	A.23.1
hCoV-19/USA/NH-CDC-LC0016265/2021	betacoronavirus	EPI_ISL_1161605	2021-02-10	North America	USA	New Hampshire	A.23.1
hCoV-19/Germany/BW-RKI-I-033199/2021	betacoronavirus	EPI_ISL_1217446	2021-03-01	Europe	Germany	Baden-Wurttemberg	A.27
hCoV-19/England/ALDP-1195BB0/2021	betacoronavirus	EPI_ISL_947006	2021-01-26	Europe	United Kingdom	England	A.23.1
hCoV-19/France/HDF-IPP04531/2021	betacoronavirus	EPI_ISL_1262741	2021-02-18	Europe	France	Hauts-de-France	A.28
hCoV-19/France/HDF-IPP03425/2021	betacoronavirus	EPI_ISL_1060416	2021-02-05	Europe	France	Hauts-de-France	A.28
hCoV-19/France/HDF-IPP04533/2021	betacoronavirus	EPI_ISL_1262743	2021-02-18	Europe	France	Hauts-de-France	A.28
hCoV-19/France/IDF-IPP01093/2021	betacoronavirus	EPI_ISL_912584	2021-01-09	Europe	France	Ile De France	A.28
hCoV-19/Germany/HH-RKI-I-027627/2021	betacoronavirus	EPI_ISL_1210658	2021-02-24	Europe	Germany	Hamburg	A.23.1
hCoV-19/England/OXON-F4BF85/2021	betacoronavirus	EPI_ISL_951161	2021-01-02	Europe	United Kingdom	England	A.23.1
hCoV-19/Slovenia/65006/2021	betacoronavirus	EPI_ISL_1063521	2021-02-04	Europe	Slovenia	NA	A.27
hCoV-19/Slovenia/80233/2021	betacoronavirus	EPI_ISL_1181862	2021-02-14	Europe	Slovenia	NA	A.27
hCoV-19/England/CAMC-11B36F7/2021	betacoronavirus	EPI_ISL_987974	2021-01-29	Europe	United Kingdom	England	A.23.1
hCoV-19/England/CAMC-11AA0B9/2021	betacoronavirus	EPI_ISL_1047206	2021-01-27	Europe	United Kingdom	England	A.23.1
hCoV-19/Scotland/QEUH-11881EB/2021	betacoronavirus	EPI_ISL_946318	2021-01-28	Europe	United Kingdom	Scotland	A.23.1
hCoV-19/Canada/NS-NML-16211/2021	betacoronavirus	EPI_ISL_1055730	2021-01-11	North America	Canada	Nova Scotia	A.23.1
hCoV-19/Canada/NB-NML-8799/2021	betacoronavirus	EPI_ISL_961612	2021-01-22	North America	Canada	New Brunswick	A.23.1
hCoV-19/Netherlands/UT-RIVM-13395/2021	betacoronavirus	EPI_ISL_1090051	2021-02-09	Europe	Netherlands	Utrecht	A
hCoV-19/USA/WI-UW-3869/2021	betacoronavirus	EPI_ISL_1252886	2021-02-25	North America	USA	Wisconsin	A.21
hCoV-19/USA/CA-UCSF-JD285/2021	betacoronavirus	EPI_ISL_1093729	2021-01-24	North America	USA	California	A.2.5
hCoV-19/USA/NMDOH-2021076097/2021	betacoronavirus	EPI_ISL_1340918	2021-03-09	North America	USA	New Mexico	A.2.5
hCoV-19/Ireland/CN-NVRL-21IRL31745/2021	betacoronavirus	EPI_ISL_1118873	2021-02-04	Europe	Ireland	Cavan	A.27
hCoV-19/Canada/NB-NML-16178/2021	betacoronavirus	EPI_ISL_1164964	2021-01-28	North America	Canada	New Brunswick	A.23.1
hCoV-19/Australia/SA0603/2021	betacoronavirus	EPI_ISL_771368	2021-01-02	Oceania	Australia	South Australia	A.23.1
hCoV-19/England/QEUH-EFF4DD/2021	betacoronavirus	EPI_ISL_835214	2021-01-04	Europe	United Kingdom	England	A.23.1
hCoV-19/USA/NY-NYCPHL-002347/2021	betacoronavirus	EPI_ISL_857159	2021-01-11	North America	USA	New York	A.2.5.2
hCoV-19/England/ALDP-FBBFF9/2021	betacoronavirus	EPI_ISL_862946	2021-01-11	Europe	United Kingdom	England	A.23.1
hCoV-19/England/ALDP-FB5A94/2021	betacoronavirus	EPI_ISL_862989	2021-01-11	Europe	United Kingdom	England	A.23.1
hCoV-19/England/LIVE-DD9C69/2021	betacoronavirus	EPI_ISL_865277	2021-01-08	Europe	United Kingdom	England	A.23.1
hCoV-19/England/LIVE-DDA6C4/2021	betacoronavirus	EPI_ISL_865312	2021-01-10	Europe	United Kingdom	England	A.23.1
hCoV-19/England/ALDP-1005D01/2021	betacoronavirus	EPI_ISL_863871	2021-01-12	Europe	United Kingdom	England	A.23.1
hCoV-19/England/ALDP-FB6B63/2021	betacoronavirus	EPI_ISL_863008	2021-01-11	Europe	United Kingdom	England	A.23.1
hCoV-19/Denmark/DCGC-33292/2021	betacoronavirus	EPI_ISL_870297	2021-01-11	Europe	Denmark	Hovedstaden	A.23.1
hCoV-19/France/BFC-IPP00713/2021	betacoronavirus	EPI_ISL_872283	2021-01-09	Europe	France	Bourgogne-Franche-Comte	A
hCoV-19/France/BFC-IPP00708/2021	betacoronavirus	EPI_ISL_872282	2021-01-03	Europe	France	Bourgogne-Franche-Comte	A
hCoV-19/Denmark/DCGC-34383/2021	betacoronavirus	EPI_ISL_871394	2021-01-04	Europe	Denmark	Midtjylland	A.21
hCoV-19/France/BFC-IPP00711/2021	betacoronavirus	EPI_ISL_872201	2021-01-06	Europe	France	Bourgogne-Franche-Comte	A
hCoV-19/France/BFC-IPP00709/2021	betacoronavirus	EPI_ISL_872204	2021-01-03	Europe	France	Bourgogne-Franche-Comte	A
hCoV-19/France/BFC-IPP00712/2021	betacoronavirus	EPI_ISL_872205	2021-01-06	Europe	France	Bourgogne-Franche-Comte	A
hCoV-19/Italy/VEN-IZSVe-21RS22-11_TV/2021	betacoronavirus	EPI_ISL_875557	2021-01-11	Europe	Italy	Veneto	A.21
hCoV-19/France/OCC-244/2021	betacoronavirus	EPI_ISL_875668	2021-01-14	Europe	France	Occitanie	A.28
hCoV-19/England/MILK-F8898E/2021	betacoronavirus	EPI_ISL_875037	2021-01-07	Europe	United Kingdom	England	A.23.1
hCoV-19/England/ALDP-10921A3/2021	betacoronavirus	EPI_ISL_877866	2021-01-17	Europe	United Kingdom	England	A.23.1
hCoV-19/England/ALDP-109206A/2021	betacoronavirus	EPI_ISL_877911	2021-01-17	Europe	United Kingdom	England	A.23.1
hCoV-19/England/ALDP-109213A/2021	betacoronavirus	EPI_ISL_877990	2021-01-17	Europe	United Kingdom	England	A.23.1
hCoV-19/Denmark/DCGC-37052/2021	betacoronavirus	EPI_ISL_928193	2021-01-18	Europe	Denmark	Midtjylland	A.21
hCoV-19/England/ALDP-1010161/2021	betacoronavirus	EPI_ISL_881480	2021-01-12	Europe	United Kingdom	England	A.23.1
hCoV-19/England/ALDP-10101E9/2021	betacoronavirus	EPI_ISL_881475	2021-01-12	Europe	United Kingdom	England	A.23.1
hCoV-19/England/ALDP-FA345F/2021	betacoronavirus	EPI_ISL_881681	2021-01-09	Europe	United Kingdom	England	A.23.1
hCoV-19/England/ALDP-10307B4/2021	betacoronavirus	EPI_ISL_880396	2021-01-14	Europe	United Kingdom	England	A.23.1
hCoV-19/England/ALDP-10659DE/2021	betacoronavirus	EPI_ISL_878123	2021-01-15	Europe	United Kingdom	England	A.23.1
hCoV-19/England/ALDP-FAF5E7/2021	betacoronavirus	EPI_ISL_881980	2021-01-10	Europe	United Kingdom	England	A.23.1
hCoV-19/CzechRepublic/NRL_277/2021	betacoronavirus	EPI_ISL_882953	2021-01-06	Europe	Czech Republic	Prague	A
hCoV-19/England/ALDP-FB4C26/2021	betacoronavirus	EPI_ISL_882063	2021-01-10	Europe	United Kingdom	England	A.23.1
hCoV-19/Mayotte/IPP00858/2021	betacoronavirus	EPI_ISL_894226	2021-01-11	Africa	Mayotte	Mamoudzou	A.27
hCoV-19/Mayotte/IPP00891/2021	betacoronavirus	EPI_ISL_894228	2021-01-12	Africa	Mayotte	Mamoudzou	A.27
hCoV-19/Switzerland/un-ETHZ-25/2021	betacoronavirus	EPI_ISL_899137	2021-01-12	Europe	Switzerland	NA	A.28
hCoV-19/Switzerland/VD-33013136/2021	betacoronavirus	EPI_ISL_897932	2021-01-19	Europe	Switzerland	Vaud	A.21
hCoV-19/Switzerland/VD-ETHZ-451725/2021	betacoronavirus	EPI_ISL_899890	2021-01-13	Europe	Switzerland	Vaud	A
hCoV-19/Turkey/HSGM-1549/2021	betacoronavirus	EPI_ISL_906049	2021-01-22	Europe	Turkey	NA	A.27
hCoV-19/Finland/HEL-8-43_S362/2021	betacoronavirus	EPI_ISL_902910	2021-01-08	Europe	Finland	Uusimaa	A
